2024-06-19 15:58:19.033769,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,1,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,0,8,1,50,115200,115200,115200,4024,0"
2024-06-19 16:00:59.778816,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,0,8,1,50,115200,115200,115200,4024,0"
2024-06-19 16:02:46.213826,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,0,8,1,2.0,115200,115200,115200,4024,0"
2024-06-19 16:06:10.721366,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,50,115200,115200,115200,4024,0"
2024-06-19 16:06:57.495640,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,1.0,115200,115200,115200,4024,0"
2024-06-20 10:14:00.190912,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,50,115200,115200,115200,4024,0"
2024-06-20 10:17:18.804910,"0,4024,1002,4024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,2,50,115200,115200,115200,4024,0"
2024-06-20 10:17:41.898009,"0,4024,1002,4024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,37,1,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,0,0,0,0,0,0,1,1,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,5.0,115200,115200,115200,4024,0"
2024-06-24 15:03:49.784102,"0,4024,1002,4024,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,2000,200,150,100,100,5000,1000,37,2,0.9,0.003125,0.003125,2,5,1,1,3,0.1,1,2,1,1,1,1,0,1,1,0,0,27,29,31,33,39,40,41,42,11,2,3,4,5,6,7,8,9,10,24,26,28,30,32,12,47,54,0,8,0,0,115200,115200,115200,4024,0"
2024-06-24 15:05:40.086348,"0,4024,1002,4024,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,2000,200,150,100,100,5000,1000,37,2,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,2,1,1,1,1,0,1,1,0,0,27,29,31,33,39,40,41,42,11,2,3,4,5,6,7,8,9,10,24,26,28,30,32,12,47,54,0,8,0,0,115200,115200,115200,4024,0"
2024-06-24 15:05:42.065794,"0,4024,1002,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1000,200,150,100,100,5000,1000,37,2,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,2,1,1,1,1,0,1,1,0,0,27,29,31,33,39,40,41,42,11,2,3,4,5,6,7,8,9,10,24,26,28,30,32,12,47,54,0,8,0,0,115200,115200,115200,4024,0"
2024-06-24 15:05:43.063171,"0,4024,1002,4024,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,2000,200,150,100,100,5000,1000,37,2,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,2,1,1,1,1,0,1,1,0,0,27,29,31,33,39,40,41,42,11,2,3,4,5,6,7,8,9,10,24,26,28,30,32,12,47,54,0,8,0,0,115200,115200,115200,4024,0"
2024-06-24 15:05:45.101447,"0,4024,1002,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1000,200,150,100,100,5000,1000,37,2,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,2,1,1,1,1,0,1,1,0,0,27,29,31,33,39,40,41,42,11,2,3,4,5,6,7,8,9,10,24,26,28,30,32,12,47,54,0,8,0,0,115200,115200,115200,4024,0"
2024-06-24 15:05:46.069631,"0,4024,1002,4024,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,2000,200,150,100,100,5000,1000,37,2,0.9,0.003125,0.003125,2,5,1,1,3,0.1,0,2,1,1,1,1,0,1,1,0,0,27,29,31,33,39,40,41,42,11,2,3,4,5,6,7,8,9,10,24,26,28,30,32,12,47,54,0,8,0,0,115200,115200,115200,4024,0"
